File_name,R1_R2,Sample_name
sample1_R1.fastq,R1,Sample1
sample1_R2.fastq,R2,Sample1
sample2_R1.fastq,R1,Sample2
sample2_R2.fastq,R2,Sample2
sample3_R1.fastq,R1,Sample3
sample3_R2.fastq,R2,Sample3
sample4_R1.fastq,R1,Sample4
sample4_R2.fastq,R2,Sample4
sample5_R1.fastq,R1,Sample5
sample5_R2.fastq,R2,Sample5
sample6_R1.fastq,R1,Sample6
sample6_R2.fastq,R2,Sample6
sample7_R1.fastq,R1,Sample7
sample7_R2.fastq,R2,Sample7
sample8_R1.fastq,R1,Sample8
sample8_R2.fastq,R2,Sample8
sample9_R1.fastq,R1,Sample9
sample9_R2.fastq,R2,Sample9
sample10_R1.fastq,R1,Sample10
sample10_R2.fastq,R2,Sample10
sample11_R1.fastq,R1,Sample11
sample11_R2.fastq,R2,Sample11
